Compt_ID,year,month,srad
Salpine_G22,2010,5,12.42804785
Salpine_G33,2010,5,12.58313907
Salpine_F7,2010,5,12.70524139
Kwambo_F011A,2010,5,13.184507
Nseleni_J006,2010,5,12.27371234
Terranera_B38,2010,5,12.72042874
South_Areas_B35b,2010,5,12.48030801
Kwambo_A017,2010,5,12.71450606
Teranera_C55,2010,5,12.49983908
Port_Durnford_B044,2010,5,12.72589571
Nyalazi_B032,2010,6,12.87246047
Palm_Ridge_C15a,2010,6,13.30080483
Futululu_E6a,2010,6,11.37577059
Mtubatuba_B003,2010,6,11.44677431
Trust_D13,2010,6,11.87224205
Trust_E23,2010,6,11.76377717
Trust_E24,2010,6,11.73586845
Mavuya_B3a,2010,6,13.42110831
Salpine_G22,2010,6,12.03316741
Salpine_G33,2010,6,12.08402419
Salpine_F7,2010,6,11.72598566
Kwambo_F011A,2010,6,12.14564712
Nseleni_J006,2010,6,11.69890456
Terranera_B38,2010,6,11.82898742
South_Areas_B35b,2010,6,11.83210375
Kwambo_A017,2010,6,11.5435364
Teranera_C55,2010,6,11.8720068
Port_Durnford_B044,2010,6,11.3517581
Nyalazi_B032,2010,7,13.0717165
Palm_Ridge_C15a,2010,7,13.41371236
Futululu_E6a,2010,7,11.68618937
Mtubatuba_B003,2010,7,11.74204185
Trust_D13,2010,7,12.0769434
Trust_E23,2010,7,11.98964582
Trust_E24,2010,7,11.94681283
Mavuya_B3a,2010,7,13.52760318
Salpine_G22,2010,7,12.23442569
Salpine_G33,2010,7,12.2956627
Salpine_F7,2010,7,11.97365209
Kwambo_F011A,2010,7,12.35749649
Nseleni_J006,2010,7,11.94931816
Terranera_B38,2010,7,12.07068172
South_Areas_B35b,2010,7,12.06128926
Kwambo_A017,2010,7,11.81329458
Teranera_C55,2010,7,12.09430826
Port_Durnford_B044,2010,7,11.65467056
Nyalazi_B032,2010,8,14.47326791
Palm_Ridge_C15a,2010,8,14.67893311
Futululu_E6a,2010,8,13.72050834
Mtubatuba_B003,2010,8,13.69583081
Trust_D13,2010,8,14.04832187
Trust_E23,2010,8,14.20753688
Trust_E24,2010,8,13.92075915
Mavuya_B3a,2010,8,14.79540924
Salpine_G22,2010,8,13.92004969
Salpine_G33,2010,8,14.33332532
Salpine_F7,2010,8,14.04854438
Kwambo_F011A,2010,8,14.44366731
Nseleni_J006,2010,8,13.9227452
Terranera_B38,2010,8,14.33979035
South_Areas_B35b,2010,8,13.98399489
Kwambo_A017,2010,8,14.31167476
Teranera_C55,2010,8,13.96709079
Port_Durnford_B044,2010,8,14.01641959
Nyalazi_B032,2010,9,17.74535036
Palm_Ridge_C15a,2010,9,17.90517495
Futululu_E6a,2010,9,15.31761759
Mtubatuba_B003,2010,9,15.33902076
Trust_D13,2010,9,16.06712685
Trust_E23,2010,9,15.55435525
Trust_E24,2010,9,15.59056073
Mavuya_B3a,2010,9,18.05672489
Salpine_G22,2010,9,16.00907323
Salpine_G33,2010,9,15.96908427
Salpine_F7,2010,9,16.41174635
Kwambo_F011A,2010,9,15.65586246
Nseleni_J006,2010,9,15.72138349
Terranera_B38,2010,9,15.8331091
South_Areas_B35b,2010,9,15.98682702
Kwambo_A017,2010,9,15.54099913
Teranera_C55,2010,9,16.00588007
Port_Durnford_B044,2010,9,15.62043726
