Compt_ID,year,month,tmp_max
Kwambo_A017,2011,1,29.67617311
Teranera_C55,2011,1,29.82884091
Port_Durnford_B044,2011,1,29.78769048
Nyalazi_B032,2011,2,30.78340088
Palm_Ridge_C15a,2011,2,31.33236416
Futululu_E6a,2011,2,30.64914278
Mtubatuba_B003,2011,2,30.4996859
Trust_D13,2011,2,31.25418467
Trust_E23,2011,2,30.49485512
Trust_E24,2011,2,30.63009741
Mavuya_B3a,2011,2,31.36747701
Salpine_G22,2011,2,30.6825165
Salpine_G33,2011,2,30.37803972
Salpine_F7,2011,2,31.50795169
Kwambo_F011A,2011,2,30.80339851
Nseleni_J006,2011,2,30.68272043
Terranera_B38,2011,2,30.83018164
South_Areas_B35b,2011,2,31.0612343
Kwambo_A017,2011,2,30.56274873
Teranera_C55,2011,2,30.92635858
Port_Durnford_B044,2011,2,30.76531372
Nyalazi_B032,2011,3,31.51793194
Palm_Ridge_C15a,2011,3,31.77128726
Futululu_E6a,2011,3,31.66123578
Mtubatuba_B003,2011,3,31.59694924
Trust_D13,2011,3,31.79202443
Trust_E23,2011,3,31.51517611
Trust_E24,2011,3,31.58980433
Mavuya_B3a,2011,3,31.60491619
Salpine_G22,2011,3,31.28998067
Salpine_G33,2011,3,31.28967856
